pos	ancestry_ds1
27	1
305	1
400	1
410	1
433	1
546	1
553	1
610	1
694	1
723	1
835	1
922	1
933	1
1053	1
1079	1
1100	1
1103	1
1282	1
1338	1
1581	1
1597	1
1606	1
1637	1
1724	1
1762	1
1809	1
1827	1
1871	1
1988	1
2061	1
2062	1
2070	1
2246	1
2253	1
2273	1
2353	1
2405	1
2452	1
2490	1
2502	1
2533	1
2698	1
2755	1
2784	1
2836	1
3160	1
3197	1
3375	1
3417	1
3425	1
3486	1
3713	1
3724	1
3736	1
3820	1
4071	1
4088	1
4134	1
4149	1
4306	1
4350	1
4435	1
4442	1
4506	1
4622	1
4769	1
4826	1
4864	1
4931	1
4989	1
5182	1
5189	1
5213	1
5279	1
5295	1
5630	1
5771	1
5894	1
6121	1
6185	1
6260	1
6263	1
6365	1
6439	1
6517	1
6671	1
6805	1
6889	1
6977	1
6988	1
7085	1
7106	1
7197	1
7366	1
7428	1
7436	1
7503	1
7507	1
7593	1
7867	1
8006	1
8008	1
8042	1
8144	1
8145	1
8188	1
8204	1
8296	1
8351	1
8392	1
8531	1
8620	1
8621	1
8930	1
9000	1
9015	1
9188	1
9361	1
9409	1
9500	1
9525	1
9705	1
9712	1
9787	1
9864	1
9904	1
9981	1
10029	1
10089	1
10105	1
10237	1
10247	1
10353	1
10434	1
10582	1
10612	1
10631	1
10741	1
10837	1
10851	1
10873	1
10931	1
10979	1
11092	1
11168	1
11351	1
11354	1
11370	1
11490	1
11620	1
11689	1
11793	1
11811	1
11892	1
11906	1
11924	1
12049	1
12067	1
12155	1
12171	1
12199	1
12216	1
12233	1
12309	1
12376	1
12424	1
12491	1
12698	1
12745	1
12868	1
12931	1
12947	1
12976	1
12989	1
13196	1
13216	1
13230	1
13304	1
13336	1
13422	1
13529	1
13578	1
13587	1
13589	1
13607	1
13788	1
13809	1
13865	1
13898	1
13935	1
14237	1
14271	1
14368	1
14369	1
14421	1
14470	1
14516	1
14535	1
14684	1
14712	1
14924	1
14944	1
14949	1
14962	1
15043	1
15050	1
15057	1
15088	1
15126	1
15161	1
15309	1
15456	1
15578	1
15590	1
15902	1
16025	1
16040	1
16240	1
16384	1
16420	1
16494	1
16640	1
16644	1
16710	1
16779	1
16831	1
16891	1
17042	1
17059	1
17249	1
17264	1
17272	1
17318	1
17427	1
17437	1
17589	1
17636	1
17643	1
17828	1
17902	1
17927	1
18003	1
18009	1
18111	1
18125	1
18193	1
18509	1
18520	1
18567	1
18717	1
18719	1
19055	1
19128	1
19207	1
19224	1
19240	1
19241	1
19266	1
19299	1
19335	1
19343	1
19384	1
19423	1
19458	1
19478	1
19521	1
19531	1
19558	1
19601	1
19625	1
19845	1
19873	1
19905	1
19929	1
19995	1
20078	1
20084	1
20098	1
20338	1
20438	1
20770	1
20781	1
20789	1
20802	1
20937	1
21030	1
21104	1
21193	1
21590	1
21702	1
21719	1
21910	1
21950	1
22014	1
22176	1
22197	1
22229	1
22296	1
22338	1
22411	1
22439	1
22637	1
22707	1
22713	1
22779	1
22790	1
22966	1
23018	1
23066	1.00111
23131	1.02
23159	1.02
23168	1.02
23180	1.02
23185	1.02
23230	1.02
23327	1.02
23380	1.02
23677	1.02
23747	1.02
23967	1.02
23970	1.02
24114	1.02
24167	1.02
24291	1.02
24325	1.02
24416	1.02
24424	1.02
24504	1.02
24621	1.02
24717	1.02
24992	1.02
25033	1.02
25046	1.02
25153	1.02
25261	1.02
25277	1.02
25320	1.02
25597	1.02
25651	1.02
25661	1.02
25668	1.02
25743	1.02
25763	1.02
25764	1.02
25828	1.02
25934	1.02
25979	1.02
26068	1.02
26070	1.02
26110	1.02
26222	1.02
26257	1.02
26274	1.02
26424	1.02
26433	1.02
26452	1.02
26499	1.02
26584	1.02
26841	1.02
26854	1.02
26888	1.02
26992	1.02
27037	1.02
27133	1.02
27283	1.02
27340	1.02
27425	1.02
27438	1.02
27447	1.02
27453	1.02
27503	1.02
27516	1.02
27523	1.02
27542	1.02
27550	1.02
27685	1.02
27836	1.02
27890	1.02
27952	1.02
28023	1.02
28098	1.02
28104	1.02
28110	1.02
28171	1.02
28207	1.02
28261	1.02
28301	1.02
28373	1.02
28375	1.02
28494	1.02
28518	1.02
28525	1.02
28707	1.02
28823	1.02
29053	1.02
29153	1.02
29155	1.02
29172	1.02
29179	1.02
29267	1.02
29275	1.02
29390	1.02
29408	1.02
29420	1.02
29438	1.02
29551	1.02
29599	1.02
29660	1.02
29779	1.02
29809	1.02
29814	1.02
29831	1.02
29984	1.02
30029	1.02
30092	1.02
30202	1.02
30254	1.02
30301	1.02
30323	1.02
30409	1.02
30448	1.02
30471	1.02
30536	1.02
30561	1.02
30628	1.02
30725	1.02
30789	1.02
30821	1.02
30888	1.02
30976	1.02
30985	1.02
31190	1.02
31270	1.02
31394	1.02
31410	1.02
31422	1.02
31473	1.02
31534	1.02
31600	1.02
31867	1.02
31916	1.02
31961	1.02
31983	1.02
32038	1.02
32188	1.02
32207	1.02
32222	1.02
32337	1.02
32422	1.02
32464	1.02
32521	1.02
32530	1.02
32620	1.02
32740	1.02
32841	1.02
32847	1.02
32879	1.02
32963	1.02
32984	1.02
33002	1.02
33051	1.02
33098	1.02
33188	1.02
33242	1.02
33273	1.02
33299	1.02
33325	1.02
33385	1.02
33595	1.02
33797	1.02
33876	1.02
33949	1.02
33958	1.02
34016	1.02
34156	1.02
34166	1.02
34205	1.02
34267	1.02
34306	1.02
34328	1.02
34499	1.02
34545	1.02
34580	1.02
34586	1.02
34648	1.02
34741	1.02
34800	1.02
34908	1.02
34985	1.02
34989	1.02
35106	1.02
35145	1.02
35153	1.02
35474	1.02
35529	1.02
35582	1.02
35689	1.02
35691	1.02
35995	1.02
36038	1.02
36051	1.02
36066	1.02
36201	1.02
36217	1.02
36308	1.02
36752	1.02
36822	1.02
36874	1.02
36910	1.02
37038	1.02
37039	1.02
37050	1.02
37063	1.02
37133	1.02
37144	1.02
37151	1.02
37273	1.02
37455	1.02
37568	1.02
37650	1.02
37663	1.02
37676	1.02
37763	1.02
37851	1.02
37933	1.02
37943	1.02
38111	1.02
38313	1.02
38371	1.02
38378	1.02
38380	1.02
38666	1.02
38704	1.02
38762	1.02
38926	1.02
38958	1.02
39040	1.02
39079	1.02
39086	1.02
39129	1.02
39252	1.02
39352	1.02
39647	1.02
39757	1.02
39763	1.02
39776	1.02
39816	1.02
39900	1.02
39916	1.02
39941	1.02
40014	1.02
40250	1.02
40270	1.02
40401	1.02
40407	1.02
40469	1.02
40507	1.02
40542	1.02
40577	1.02
40651	1.02
40735	1.02
40754	1.02
40831	1.02
40852	1.02
40892	1.02
40898	1.02
40916	1.02
40974	1.02
41034	1.02
41042	1.02
41106	1.02
41260	1.02
41377	1.02
41476	1.02
41645	1.02
41725	1.02
41881	1.02
41945	1.02
41982	1.02
42040	1.02
42100	1.02
42149	1.02
42265	1.02
42287	1.02
42319	1.02
42492	1.02
42550	1.02
42589	1.02
42592	1.02
42702	1.02
42748	1.02
42884	1.02
43029	1.02
43059	1.02
43144	1.02
43147	1.02
43161	1.02
43180	1.02
43432	1.02
43436	1.02
43451	1.02
43551	1.02
43575	1.02
43581	1.02
43584	1.02
43588	1.02
43608	1.02
43702	1.02
43777	1.02
43786	1.02
43926	1.02
43947	1.02
43963	1.02
43987	1.02
44022	1.02
44027	1.02
44103	1.02
44119	1.02
44190	1.02
44391	1.02
44395	1.02
44521	1.02
44584	1.02
44606	1.02
44609	1.02
44667	1.02
44668	1.02
44782	1.02
44833	1.02
45034	1.002002
45215	1.002002
45260	1.002002
45331	1.002002
45426	1.002
45516	1.002
45567	1.002
45618	1.002
45757	1.002
45772	1.002
45845	1.002
45873	1.002
45992	1.002
46118	1.002
46230	1.002
46367	1.002
46483	1.002
46597	1.002
46679	1.002
46691	1.002
46692	1.002
46735	1.002
46739	1.002
46822	1.002
47001	1.002
47218	1.002
47228	1.002
47279	1.002
47386	1.002
47457	1.002
47585	1.002
47955	1.002
48072	1.002
48077	1.002
48082	1.002
48083	1.002
48170	1.002
48203	1.002
48228	1.002
48248	1.002
48286	1.002
48384	1.002
48390	1.002
48404	1.002
48497	1.002
48538	1.002
48575	1.002
48578	1.002
48711	1.002
48879	1.002
48885	1.002
49024	1.002
49167	1.002
49177	1.002
49373	1.002
49558	1.002
49648	1.002
49675	1.002
49734	1.002
49748	1.002
49911	1.002
50214	1.002
50224	1.002
50254	1.002
50387	1.002
50554	1.002
50826	1.002
50841	1.002
50948	1.002
51016	1.002
51289	1.002
51382	1.002
51607	1.002
51655	1.002
51683	1.002
51698	1.002
51947	1.002
51984	1.002
52025	1.002
52049	1.002
52148	1.002
52187	1.002
52485	1.002
52762	1.002
52833	1.002
52937	1.002
52960	1.002
52985	1.002
53028	1.002
53085	1.002
53182	1.002
53367	1.002
53598	1.002
53620	1.002
53627	1.002
53723	1.002
53750	1.002
53759	1.002
53900	1.002
54025	1.002
54077	1.002
54159	1.002
54194	1.002
54582	1.002
54593	1.002
54687	1.002
54968	1.002
55101	1.002
55133	1.002
55298	1.002
55447	1.002
55537	1.002
55548	1.002
55615	1.002
55716	1.002
55764	1.002
55963	1.002
55976	1.002
56029	1.002
56118	1.002
56218	1.002
56467	1.002
56575	1.002
56595	1.002
56675	1.002
56804	1.002
56933	1.002
57070	1.002
57097	1.002
57127	1.002
57194	1.002
57431	1.002
57629	1.002
57736	1.002
57767	1.002
57827	1.002
57851	1.002
57927	1.002
57993	1.002
58074	1.002
58119	1.002
58120	1.002
58263	1.002
58331	1.002
58356	1.002
58418	1.002
58467	1.002
58489	1.002
58549	1.002
58582	1.002
58619	1.002
58767	1.002
58835	1.002
58849	1.002
58851	1.002
59165	1.002
59200	1.002
59206	1.002
59208	1.002
59255	1.002
59302	1.002
59334	1.002
59357	1.002
59426	1.002
59493	1.002
59585	1.002
59694	1.002
59703	1.002
59834	1.002
60146	1.002
60154	1.002
60252	1.002
60362	1.002
60395	1.002
60421	1.002
60432	1.002
60573	1.002
60578	1.002
60610	1.002
60657	1.002
60760	1.002
60766	1.002
60793	1.002
61005	1.002
61313	1.002
61446	1.002
61470	1.002
61512	1.002
61714	1.002
61852	1.002
61907	1.002
62026	1.002
62067	1.002
62069	1.002
62071	1.002
62086	1.002
62146	1.002
62203	1.002
62269	1.002
62319	1.002
62381	1.002
62485	1.002
62653	1.002
62681	1.002
62832	1.002
62841	1.002
63059	1.002
63140	1.002
63150	1.002
63264	1.002
63285	1.002
63469	1.002
63523	1.002
63599	1.002
63792	1.002
63859	1.002
63996	1.002
64052	1.002
64070	1.002
64072	1.002
64094	1.002
64335	1.002
64355	1.002
64433	1.002
64483	1.002
64541	1.002
64588	1.002
64590	1.002
64719	1.002
64762	1.002
64945	1.002
65112	1.002
65171	1.002
65216	1.002
65294	1.002
65394	1.002
65445	1.002
65474	1.002
65585	1.002
65616	1.002
65674	1.002
65748	1.002
65756	1.002
65988	1.002
66100	1.002
66104	1.002
66308	1.002
66344	1.002
66372	1.002
66444	1.002
66477	1.002
66507	1.002
66533	1.002
66643	1.002
66680	1.002
66815	1.002
66839	1.002
67116	1.002
67175	1.002
67364	1.002
67451	1.002
67513	1.002
67659	1.002
67676	1.002
67713	1.002
67862	1.002
67929	1.002
68048	1.002
68134	1.002
68173	1.002
68213	1.002
68227	1.002
68294	1.002
68313	1.002
68366	1.002
68390	1.002
68432	1.002
68459	1.002
68553	1.002
68862	1.002
69134	1.002
69269	1.002
69300	1.002
69378	1.002
69398	1.002
69411	1.002
69438	1.002
69440	1.002
69463	1.002
69534	1.002
69639	1.002
69721	1.002
69749	1.002
69757	1.002
69802	1.002
70100	1.002
70167	1.002
70175	1.002
70201	1.002
70220	1.002
70224	1.002
70232	1.002
70248	1.002
70307	1.002
70387	1.002
70407	1.002
70448	1.002
70514	1.002
70562	1.002
70576	1.002
70590	1.002
70652	1.002
70747	1.002
70754	1.002
70861	1.002
70874	1.002
70960	1.002
70973	1.002
71032	1.002
71119	1.002
71295	1.002
71354	1.002
71383	1.002
71386	1.002
71412	1.002
71434	1.002
71455	1.002
71588	1.002
71636	1.002
71675	1.002
71702	1.002
71732	1.002
71764	1.002
71937	1.002
72080	1.002
72198	1.002
72345	1.002
72806	1.002
73102	1.002
73170	1.002
73300	1.002
73816	1.002
73821	1.002
73831	1.002
73844	1.002
73875	1.002
73898	1.002
73947	1.002
74051	1.002
74362	1.002
74426	1.002
74451	1.002
74460	1.002
74522	1.002
74547	1.002
74583	1.002
74590	1.002
74630	1.002
74785	1.002
74824	1.002
74846	1.002
75067	1.002
75092	1.002
75309	1.002
75315	1.002
75348	1.002
75385	1.002
75397	1.002
75533	1.002
75612	1.002
75682	1.002
75805	1.002
75821	1.002
75833	1.002
75837	1.002
76161	1.002
76194	1.002
76403	1.002
76545	1.002
76634	1.002
76878	1.002
76882	1.002
77394	1.002
77532	1.002
77559	1.002
77728	1.002
77731	1.002
77912	1.002
77972	1.002
78025	1.002
78034	1.002
78187	1.002
78271	1.002
78376	1.002
78481	1.002
78586	1.002
78682	1.002
78733	1.002
78766	1.002
78803	1.002
78828	1.002
79093	1.002
79280	1.002
79469	1.002
79489	1.002
79772	1.002
79775	1.002
79784	1.002
79800	1.002
79883	1.002
80003	1.002
80086	1.002
80184	1.002
80200	1.002
80222	1.002
80308	1.002
80319	1.002
80346	1.002
80367	1.002
80463	1.002
80503	1.002
80691	1.002
80708	1.002
80816	1.002
80819	1.002
80867	1.002
80911	1.002
80939	1.002
81011	1.002
81039	1.002
81117	1.002
81173	1.002
81266	1.002
81487	1.002
81504	1.002
81722	1.002
81781	1.002
81802	1.002
81897	1.002
81914	1.002
82074	1.002
82112	1.002
82204	1.002
82283	1.002
82349	1.002
82449	1.002
82525	1.002
82549	1.002
82565	1.002
82669	1.002
82796	1.002
82911	1.002
83111	1.002
83262	1.002
83267	1.002
83313	1.002
